0,1,2,3,4,5,6,genres,moods
내가 듣고싶어서 만든... ,96100.0,121.0,15546282.0,162.0,128482.0,70056,"['R&B / Soul (국내)', 'Rap / Hip-hop (국내)', 'Rock (국내)', 'Electronica (국내)', 'Electronica (국외)', 'Pop (국외)', 'R&B / Soul (국외)', 'Rap / Hip-hop (국외)', 'Rock (국외)']",['모든 분위기']
조거북,86700.0,341.0,89632622.0,1034.0,262852.0,2163,"['Ballad (국내)', 'Dance (국내)', 'Rock (국내)', 'Electronica (국내)', 'OST (국내)']",['모든 분위기']
형빈 Thinking about you,84600.0,332.0,24879282.0,294.0,74938.0,860,"['R&B / Soul (국내)', 'Rap / Hip-hop (국내)', 'R&B / Soul (국외)', 'Rap / Hip-hop (국외)', 'Rap / Hip-hop (국외)', 'Pop (국외)']",['모든 분위기']
김파란,93400.0,85.0,15715821.0,168.0,184892.0,387120,"['Country (국외)', 'Electronica (국외)', 'Folk (국외)', 'Pop (국외)', 'R&B / Soul (국외)', 'Rock (국외)']",['모든 분위기']
구구 Playlist,83900.0,195.0,74551645.0,889.0,382316.0,11736,"['Ballad (국내)', 'Dance (국내)', 'Rock (국내)', 'Electronica (국내)', 'OST (국내)']",['모든 분위기']
"Seongbeen, The Mournful... ",79700.0,68.0,11813625.0,148.0,173730.0,3930,"['Ballad (국내)', 'Blues (국내)', 'Dance (국내)', 'Folk (국내)', 'R&B / Soul (국내)', 'Rap / Hip-hop (국내)', 'Rock (국내)', 'Electronica (국내)', 'Jazz (국내)', 'Blues (국외)', 'Country (국외)', 'Electronica (국외)', 'Folk (국외)', 'Pop (국외)', 'EDM (국외)', 'R&B / Soul (국외)', 'Rap / Hip-hop (국외)', 'Rock (국외)', 'Electronica (J-Pop)', 'Pop (J-Pop)', 'R&B / Soul (J-Pop)', 'Rap / Hip-hop (J-Pop)', 'Rock (J-Pop)']",['모든 분위기']
릴숭어 lil mullet,103000.0,244.0,36827911.0,358.0,150934.0,1813,"['R&B / Soul (국내)', 'Rap / Hip-hop (국내)']",['모든 분위기']
브오라 Brilliant Audio... ,93800.0,102.0,11512440.0,123.0,112867.0,29274,"['Pop (국외)', 'Blues (국외)', 'Jazz (국외)', 'R&B / Soul (국외)', 'Folk (국외)']",['모든 분위기']
흰토커,77700.0,968.0,77134017.0,993.0,79684.0,471,[],['모든 분위기']
김쿡은 너를 보고 웃지,73900.0,67.0,18992883.0,257.0,283476.0,10858,"['Ballad (국내)', 'Folk (국내)', 'Rock (국내)', 'Blues (국내)']",['모든 분위기']
세레나Serena,72000.0,91.0,27502820.0,382.0,302229.0,-,"['Pop (국외)', 'Electronica (국외)', 'EDM (국외)', 'R&B / Soul (국외)', 'Rap / Hip-hop (국외)']",['모든 분위기']
It's me. Hello.,94900.0,815.0,20357048.0,215.0,24978.0,1282,"['Blues (국외)', 'Country (국외)', 'Folk (국외)', 'Pop (국외)', 'Blues (국내)', 'Folk (국내)', 'R&B / Soul (국내)']",['모든 분위기']
뮤직쿠키 music cookie,66600.0,60.0,17374096.0,261.0,289568.0,-,"['R&B / Soul (국내)', 'Rap / Hip-hop (국내)', 'Ballad (국내)', 'Folk (국내)', 'Rock (국내)', 'Blues (국내)']",['모든 분위기']
조기,83300.0,130.0,9760986.0,117.0,75085.0,10261,"['Rap / Hip-hop (국외)', 'R&B / Soul (국외)', 'R&B / Soul (국내)', 'Rap / Hip-hop (국내)']",['모든 분위기']
audioolny-오디오온니,69100.0,78.0,11129256.0,161.0,142683.0,-,"['Electronica (국외)', 'Pop (국외)', 'EDM (국외)', 'R&B / Soul (국외)', 'Rap / Hip-hop (국외)', 'Jazz (국외)', 'New Age']",['모든 분위기']
라디안트RADIANT,73700.0,155.0,24031651.0,326.0,155043.0,15870,"['Ballad (국내)', 'Folk (국내)', 'Rock (국내)', 'Blues (국내)', 'Pop (국외)', 'R&B / Soul (국외)', 'Country (국외)', 'Blues (국외)', 'Jazz (국외)']",['모든 분위기']
하루플리 𝒉𝒂𝒓𝒖𝒑𝒍𝒚,66500.0,326.0,26758156.0,402.0,82080.0,825,"['Ballad (국내)', 'Blues (국내)', 'Folk (국내)', 'R&B / Soul (국내)', 'OST (국내)', 'New Age']",['모든 분위기']
얘들아 사랑해,66400.0,111.0,68980263.0,1039.0,621444.0,66454,"['Dance (국내)', 'R&B / Soul (국내)', 'Ballad (국내)']",['모든 분위기']
피달소 Pidalso,76500.0,182.0,43283110.0,566.0,237819.0,14554,"['OST (국내)', 'OST (국외)', 'New Age', 'Classic', '뮤직테라피']",['모든 분위기']
플레이 PㄴAY,79600.0,97.0,13922537.0,175.0,143531.0,23823,"['Dance (국내)', 'Rock (국내)', 'R&B / Soul (국내)', 'Ballad (국내)', 'Rap / Hip-hop (국내)', 'Pop (국외)', 'R&B / Soul (국외)']",['모든 분위기']
그냥playlist,62700.0,82.0,12632440.0,201.0,154054.0,3885,"['R&B / Soul (국내)', 'Rap / Hip-hop (국내)']",['모든 분위기']
