channel_name,subscribers,video_num,total_view,vs_index,vv_index,cpi,genres,moods
ɴᴏᴏʏ ᴘʟᴀʏʟɪꜱᴛ 누플리,17000,14,3050944,179,217925,12091,"Ballad (국내), Blues (국내), Dance (국내), Folk (국내), R&B / Soul (국내), Pop (국외), R&B / Soul (국외)",모든 분위기
Jazz Lab,32700,52,9733272,298,187178,2148,"Jazz (국내), Jazz (국외), New Age, Classic",모든 분위기
럽욜셆 LOVE YOURSELF,15700,50,4842343,308,96847,12563,"Ballad (국내), Blues (국내), Dance (국내), Folk (국내), R&B / Soul (국내), Rap / Hip-hop (국내), Rock (국내), Electronica (국내), Jazz (국내), Blues (국외), Country (국외), Electronica (국외), Folk (국외), Pop (국외), EDM (국외), R&B / Soul (국외), Rap / Hip-hop (국외), Rock (국외)",
너오늘좀예쁘다,12100,331,4534854,375,13700,2670,"Dance (국내), R&B / Soul (국내), Rap / Hip-hop (국내), Ballad (국내), Folk (국내), Rock (국내), Blues (국내)",모든 분위기
공부할때 들으려고 [ 𝕃𝕚𝕧𝕪 ],13900,37,7836030,564,211785,-,"New Age, Classic, 뮤직테라피",모든 분위기
𝐒𝐄𝐍𝐓𝐈𝐌𝐄𝐍𝐓𝐀𝐋 𝐀𝐔𝐃𝐈𝐎,14300,96,8215511,575,85578,1812,"R&B / Soul (국내), Rap / Hip-hop (국내), Rock (국내), Electronica (국내), Electronica (국외), Pop (국외), R&B / Soul (국외), Rap / Hip-hop (국외), Rock (국외)",모든 분위기
Laura’s,33200,518,11838108,357,22853,588,"Blues (국외), Country (국외), Electronica (국외), Folk (국외), Pop (국외), EDM (국외), R&B / Soul (국외), Rap / Hip-hop (국외), Rock (국외), CCM (국외), Jazz (국외), OST (국외)",모든 분위기
국가연금술사,12300,17,10386953,844,610997,96199,"OST (국내), OST (국외)",모든 분위기
지은Ji-eun,10800,229,2831855,262,12366,711,"Blues (국외), Country (국외), Electronica (국외), Folk (국외), Pop (국외), EDM (국외), R&B / Soul (국외), Rap / Hip-hop (국외), Rock (국외), Jazz (국외), OST (국외)",모든 분위기
성개 SUNGGAE,11600,201,8161243,704,40603,2679,"Ballad (국내), Blues (국내), Dance (국내), Folk (국내), R&B / Soul (국내), Rap / Hip-hop (국내), Rock (국내), Electronica (국내), Jazz (국내), Blues (국외), Country (국외), Electronica (국외), Folk (국외), Pop (국외), EDM (국외), R&B / Soul (국외), Rap / Hip-hop (국외), Rock (국외)",모든 분위기
